Town,Year,Town Code,Number of Returns,Percent Affordable,Affordability Score,IIE Score,County
Windsor,2011,164,14067,6.61,18.58307562552713,75.1979080920243,Hartford
Windsor Locks,2011,165,6152,8.62,24.233904976103457,63.76122181868423,Hartford
Wolcott,2011,166,7406,6.96,19.567050885577736,76.01183266516401,New Haven
Woodbridge,2011,167,3962,1.18,3.3174023053134665,95.5296748097402,New Haven
Woodbury,2011,168,4515,1.82,5.116671352263143,88.11901789410254,Litchfield
Woodstock,2011,169,3404,1.84,5.172898509980321,75.44106945751105,Windham
Andover,2012,1,1510,3.57,9.61227786752827,77.23854578331816,Tolland
Ansonia,2012,2,8299,14.56,39.203015616585894,51.22537265071995,New Haven
Ashford,2012,3,1992,3.73,10.043080236941304,74.22362511855323,Windham
Avon,2012,4,8105,3.65,9.827679052234787,96.62097693621926,Hartford
Barkhamsted,2012,5,1640,0.82,2.2078621432417878,79.45580880136887,Litchfield
Beacon Falls,2012,6,2716,1.24,3.338718362950996,77.46041594222072,New Haven
Berlin,2012,7,9573,7.19,19.359181475498115,82.68560196011227,Hartford
Bethany,2012,8,2479,0.1,0.2692514808831449,89.78482807710843,New Haven
Bethel,2012,9,8288,5.2,14.001077005923532,76.96387400720715,Fairfield
Bethlehem,2012,10,1670,1.59,4.281098546042004,82.61711767347265,Litchfield
Bloomfield,2012,11,10313,11.38,30.640818524501885,78.49082162427231,Hartford
Bolton,2012,12,2342,0.94,2.5309639203015615,86.86407449527543,Tolland
Bozrah,2012,13,1178,2.17,5.842757135164243,77.20883114351311,New London
Branford,2012,14,13778,3.26,8.777598276790522,84.28558686502194,New Haven
Bridgeport,2012,15,56838,17.69,47.63058696822833,4.631058798811168,Fairfield
Bridgewater,2012,16,813,0.23,0.6192784060312332,92.86121069381083,Litchfield
Bristol,2012,17,27400,13.25,35.67582121701669,63.41855758570771,Hartford
Brookfield,2012,18,7502,2.12,5.708131394722671,86.97983417232395,Fairfield
Brooklyn,2012,19,3250,10.02,26.978998384491113,66.27399675100008,Windham
Burlington,2012,20,4108,1.68,4.523424878836833,89.80500187588028,Hartford
Canaan,2012,21,1793,4.49,12.089391491653204,59.52197046303835,Litchfield
Canterbury,2012,22,2270,5.73,15.428109854604202,66.66589033875451,Windham
Canton,2012,23,4533,7.31,19.682283252557887,91.30939392074875,Hartford
Chaplin,2012,24,1001,2.43,6.54281098546042,64.54713700371528,Windham
Cheshire,2012,25,11799,3.18,8.562197092084007,90.538184409928,New Haven
Chester,2012,26,1764,1.82,4.900376952073237,88.10615447960934,Middlesex
Clinton,2012,27,6111,2.18,5.869682283252558,79.98824684918921,Middlesex
Colchester,2012,28,7124,7.89,21.24394184168013,79.49293911407602,New London
Colebrook,2012,29,285,1.11,2.9886914378029084,82.25058732296368,Litchfield
Columbia,2012,30,2524,2.99,8.050619278406032,81.85847664498121,Tolland
Cornwall,2012,31,684,1.99,5.358104469574583,85.18023679659339,Litchfield
Coventry,2012,32,5540,5.12,13.785675821217017,79.49550229238059,Tolland
Cromwell,2012,33,6795,6.95,18.712977921378567,83.27010312943426,Middlesex
Danbury,2012,34,33729,10.51,28.298330640818524,58.57140018181426,Fairfield
Darien,2012,35,8132,2.59,6.973613354873452,99.01202159328336,Fairfield
Deep River,2012,36,2148,2.58,6.946688206785137,85.31782574045675,Middlesex
Derby,2012,37,5623,10.75,28.944534194938072,58.0747916062622,New Haven
Durham,2012,38,3268,1.74,4.68497576736672,91.58604023453492,Middlesex
Eastford,2012,39,647,2.4,6.462035541195476,70.1199197125661,Windham
East Granby,2012,40,2427,5.02,13.51642434033387,83.4200817386665,Hartford
East Haddam,2012,41,3646,2.31,6.219709208400646,81.53644704659467,Middlesex
East Hampton,2012,42,5957,3.21,8.64297253634895,84.48456135332258,Middlesex
East Hartford,2012,43,23440,16.45,44.29186860527733,37.49314784470748,Hartford
East Haven,2012,44,13082,6.73,18.12062466343565,66.99886843469167,New Haven
East Lyme,2012,45,8018,5.31,14.297253634894991,84.22643152460611,New London
Easton,2012,46,3155,0.41,1.1039310716208939,97.03607837008708,Fairfield
East Windsor,2012,47,5359,14.29,38.4760366182014,69.93233331636728,Hartford
Ellington,2012,48,7056,5.27,14.189553042541732,85.49014932331923,Tolland
Enfield,2012,49,19042,12.01,32.3371028540657,63.157732247393234,Hartford
Essex,2012,50,3181,1.56,4.20032310177706,92.80477872082456,Middlesex
Fairfield,2012,51,23937,2.62,7.054388799138396,94.06824400899166,Fairfield
Farmington,2012,52,11606,7.55,20.328486806677436,92.95280327108489,Hartford
Franklin,2012,53,905,2.2,5.923532579429187,73.33054405061577,New London
Glastonbury,2012,54,15297,5.51,14.83575659666128,92.2558900019043,Hartford
Goshen,2012,55,1331,0.36,0.9693053311793215,85.71017884618436,Litchfield
Granby,2012,56,4880,3.07,8.266020463112547,88.40563180353195,Hartford
Greenwich,2012,57,26816,5.13,13.81260096930533,100.0,Fairfield
Griswold,2012,58,5693,6.57,17.68982229402262,58.4316098920626,New London
Groton,2012,59,10640,20.39,54.90037695207324,61.830310626455244,New London
Guilford,2012,60,9774,2.12,5.708131394722671,94.53384139071763,New Haven
Haddam,2012,61,3765,1.08,2.907915993537965,84.68207725958851,Middlesex
Hamden,2012,62,24891,6.61,17.797522886375877,74.74144803610378,New Haven
Hampton,2012,63,1095,2.27,6.1120086160473885,78.23041147218497,Windham
Hartford,2012,64,47054,37.14,100.0,1.4210854715202004e-14,Hartford
Hartland,2012,65,756,0.93,2.504038772213247,82.90173623236178,Hartford
Harwinton,2012,66,2488,2.1,5.6542810985460425,80.86076523737722,Litchfield
Hebron,2012,67,4126,2.75,7.404415724286483,88.60908363127166,Tolland
Kent,2012,68,1303,3.12,8.40064620355412,91.66062216878387,Litchfield
Killingly,2012,69,7484,12.63,34.0064620355412,42.682940822985714,Windham
Killingworth,2012,70,2826,0.46,1.2385568120624664,91.11491742574773,Middlesex
Lebanon,2012,71,3194,2.75,7.404415724286483,73.71765264942695,New London
Ledyard,2012,72,6623,3.44,9.262250942380183,73.87606223034695,New London
Lisbon,2012,73,1449,2.6,7.000538502961766,70.32942752117341,New London
Litchfield,2012,74,3761,4.58,12.331717824448035,87.43016747446212,Litchfield
Lyme,2012,75,728,0.82,2.2078621432417878,97.47104629409637,New London
Madison,2012,76,7945,1.59,4.281098546042004,94.2924313668951,New Haven
Manchester,2012,77,27009,14.64,39.41841680129241,66.4167938379949,Hartford
Mansfield,2012,78,5589,10.94,29.456112008616046,78.94440195063731,Tolland
Marlborough,2012,79,2800,1.84,4.9542272482498655,87.64879649386745,Hartford
Meriden,2012,80,26269,14.71,39.606892837910614,49.29933488982809,New Haven
Middlebury,2012,81,3393,3.46,9.316101238556811,90.22810289567114,New Haven
Middlefield,2012,82,2006,2.25,6.058158319870759,81.1319534774757,Middlesex
Middletown,2012,83,19812,20.81,56.03123317178244,70.6719449007249,Middlesex
Milford,2012,84,24965,6.05,16.289714593430265,87.04830894225694,New Haven
Monroe,2012,85,8506,0.81,2.1809369951534734,88.34611609349616,Fairfield
Montville,2012,86,8091,4.21,11.335487345180399,64.5389902294389,New London
Morris,2012,87,1027,1.67,4.496499730748519,84.08658974331328,Litchfield
Naugatuck,2012,88,14014,8.31,22.37479806138934,59.75964229055793,New Haven
New Britain,2012,89,29484,20.32,54.71190091545503,23.262922309512405,Hartford
