Tax Year,Town,Fed AGI,CT AGI,CT Income Tax ,Federal EITC Claimed,Number of EITC Credits Claimed,Amount of EITC Claimed,Percentage By Town
2016,LEDYARD,12159390,11804542,48369,1156468,617,318628,0.29
2016,LISBON,3258730,3235752,12103,305329,160,83967,0.08
2016,LITCHFIELD,4329041,4297786,21423,353124,225,97110,0.09
2016,LYME,777501,749447,6047,53688,43,14764,0.01
2016,MADISON,4325794,4263392,18106,387933,279,106063,0.1
2016,MANCHESTER,77641290,77419827,330476,8542140,4000,2350523,2.11
2016,MANSFIELD,7755392,7719143,35838,669955,404,184240,0.17
2016,MARLBOROUGH,2758455,2739457,10648,236657,141,65082,0.06
2016,MERIDEN,97271964,96990632,411222,11464656,4917,3153589,2.83
2016,MIDDLEBURY,2855007,2836155,10294,265285,150,72953,0.07
2016,MIDDLEFIELD,2052336,2022551,6451,182731,122,50251,0.05
2016,MIDDLETOWN,46282695,46155796,192956,5051891,2505,1388486,1.24
2016,MILFORD,30508644,30299270,118465,2926107,1769,804497,0.72
2016,MONROE,7119419,7063111,30117,610598,391,167915,0.15
2016,MONTVILLE,20020218,19915848,91182,1957096,975,539738,0.48
2016,MORRIS,1516814,1507191,6496,142028,79,39059,0.04
2016,NAUGATUCK,40822465,40703403,174979,4380589,2030,1206004,1.08
2016,NEW BRITAIN,153321027,152932393,600387,19257282,7951,5301104,4.75
2016,NEW CANAAN,2994111,2985629,9732,331860,214,91261,0.08
2016,NEW FAIRFIELD,5912481,5850353,24492,474265,293,131367,0.12
2016,NEW HARTFORD,4022967,3993082,17194,336555,230,92552,0.08
2016,NEW HAVEN,223013072,222597336,882686,28725210,12419,7900601,7.08
2016,NEWINGTON,22473742,22361996,101156,2102964,1179,578320,0.52
2016,NEW LONDON,54709997,54474828,197904,6845504,2942,1884258,1.69
2016,NEW MILFORD,20854037,20721445,87371,1934351,1103,534913,0.48
2016,NEWTOWN,8420657,8362818,37957,782936,546,215312,0.19
2016,NORFOLK,1002259,992468,4509,105825,67,30384,0.03
2016,NORTH BRANFORD,7133798,7094949,29531,605584,408,166537,0.15
2016,NORTH CANAAN,791342,789266,2067,76989,44,21172,0.02
2016,NORTH HAVEN,12990430,12912775,56828,1175030,759,326703,0.29
2016,NORTH STONINGTON,3843791,3830543,16493,345181,187,94408,0.08
2016,NORWALK,88812586,88500202,355039,9267272,4769,2549608,2.29
2016,NORWICH,73048287,72824608,278677,8766540,3769,2411374,2.16
2016,OLD LYME,2736584,2715565,16611,330941,217,92542,0.08
2016,OLD SAYBROOK,4977052,4945425,23626,442173,260,121598,0.11
2016,ORANGE,4843314,4819870,15755,441384,281,121422,0.11
2016,OXFORD,5086125,5048209,19402,466527,286,128299,0.12
2016,PLAINFIELD,20715680,20606641,90730,2161628,1023,595561,0.53
2016,PLAINVILLE,16489156,16408018,78564,1434899,846,394597,0.35
